method,metric,reported,recomputed,delta,status
ReplenishVerifier-TypeAware,objective_accuracy,0.83,0.83,0.0,OK
ReplenishVerifier-TypeAware,structure_completeness,0.7806,0.7805994047619054,-5.952380945917213e-07,OK
ReplenishVerifier-TypeAware,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-TypeAware,constraint_coverage,0.9136,0.9136111111111112,1.1111111111183902e-05,OK
ReplenishVerifier-TypeAware,average_runtime_sec,0.1183,0.11827753858058714,-2.2461419412866945e-05,OK
ReplenishVerifier-TypeAware,average_repair_feedback_count,0.14,0.06,-0.08000000000000002,MISMATCH
ReplenishVerifier-TypeAware-Consensus,executable_rate,0.97,0.97,0.0,OK
ReplenishVerifier-TypeAware-Consensus,optimal_rate,0.87,0.87,0.0,OK
ReplenishVerifier-TypeAware-Consensus,objective_accuracy,0.85,0.85,0.0,OK
ReplenishVerifier-TypeAware-Consensus,structure_completeness,0.8073,0.8072660714285721,-3.3928571427921383e-05,OK
ReplenishVerifier-TypeAware-Consensus,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-TypeAware-Consensus,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
ReplenishVerifier-TypeAware-Consensus,average_runtime_sec,0.1259,0.12594592943089084,4.592943089082313e-05,OK
ReplenishVerifier-TypeAware-Consensus,average_repair_feedback_count,0.22,0.08,-0.14,MISMATCH
Solver only,executable_rate,0.97,0.97,0.0,OK
Solver only,optimal_rate,0.87,0.87,0.0,OK
Solver only,objective_accuracy,0.78,0.78,0.0,OK
Solver only,structure_completeness,0.7906,0.7905763888888887,-2.3611111111265792e-05,OK
Solver only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Solver only,constraint_coverage,0.9319,0.9319444444444445,4.4444444444513564e-05,OK
Solver only,average_runtime_sec,0.1081,0.10805507289478555,-4.4927105214448426e-05,OK
Solver only,average_repair_feedback_count,0.32,0.32,0.0,OK
Structure only,executable_rate,0.97,0.97,0.0,OK
Structure only,optimal_rate,0.87,0.87,0.0,OK
Structure only,objective_accuracy,0.82,0.82,0.0,OK
Structure only,structure_completeness,0.8076,0.807578571428572,-2.1428571427950516e-05,OK
Structure only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Structure only,constraint_coverage,0.9444,0.9444444444444444,4.444444444440254e-05,OK
Structure only,average_runtime_sec,0.142,0.14195978770032525,-4.021229967474116e-05,OK
Structure only,average_repair_feedback_count,0.22,0.22,0.0,OK
